topic,query,title,url,timestamp,search_depth
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,"DEBUNKING MISINFORMATION ON MEASLES VACCINE | ""Opposition to ...",https://www.facebook.com/JewishStandard/videos/debunking-misinformation-on-measles-vaccine/287895218785357/,2024-11-30T16:48:46.361848,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Vaccine Misinformation | Do we have accurate basic information? The ...,https://www.facebook.com/pointofviewradio/videos/vaccine-misinformation/783444602351018/,2024-11-30T16:48:46.970299,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Covid-19 vaccines and the danger of religious misinformation,https://www.facebook.com/bbcnews/videos/covid-19-vaccines-and-the-danger-of-religious-misinformation/741963306518135/,2024-11-30T16:48:47.748220,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,"Guyana Times - Village, religious leaders still spreading... - Facebook",https://www.facebook.com/gytimes/posts/village-religious-leaders-still-spreading-misinformation-about-covid-vaccineshtt/4614504878658276/,2024-11-30T16:48:48.439127,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,PODCAST: Vaccine... - The Conversation Australia + NZ - Facebook,https://www.facebook.com/conversationedu/posts/podcast-vaccine-misinformation-from-religious-groups-is-hampering-vaccination-ef/4864600076900915/,2024-11-30T16:48:49.563486,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,The Archdiocese of Seattle... - History Of Vaccines - Facebook,https://www.facebook.com/HistoryVaccines/posts/the-archdiocese-of-seattle-washington-state-usa-has-removed-all-religious-philos/2399217150319549/,2024-11-30T16:48:50.127088,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Lung Cancer Survivors and Health Support Group - Facebook,https://www.facebook.com/groups/LungcancerSurvivors/,2024-11-30T16:48:50.790228,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,'The Gospel Truth?'... - Black Muslim COVID Coalition - Facebook,https://www.facebook.com/blackmuslimcoalition/posts/the-gospel-truth-covid-19-vaccines-and-the-danger-of-religious-misinformationclo/279127650401182/,2024-11-30T16:48:51.489755,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Covid-19 vaccines and the danger of religious misinformation ...,https://ar-ar.facebook.com/bbcnews/videos/covid-19-vaccines-and-the-danger-of-religious-misinformation/741963306518135/,2024-11-30T16:48:52.488077,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Help stop the spread of vaccine misinformation - Facebook,https://www.facebook.com/WHO/videos/help-stop-the-spread-of-vaccine-misinformation/1894785427356919/,2024-11-30T16:48:54.358132,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Kerikeri Notice Board - Facebook,https://www.facebook.com/groups/586021038087068/,2024-11-30T16:48:54.891772,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,BBC 17 March 2021 reporting... - Humanist Society (Singapore) - Facebook,https://www.facebook.com/humanist.org.sg/posts/bbc-17-march-2021-reporting-on-religion-spreading-misinformation-on-covid-vaccin/5244771832259958/,2024-11-30T16:48:55.848926,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,US Christian groups spreading COVID misinformation - Facebook,https://www.facebook.com/abcthedrum/videos/us-christian-groups-spreading-covid-misinformation/550369852619989/,2024-11-30T16:48:56.599549,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,"President #Biden credits companies, doctors, school ... - Facebook",https://www.facebook.com/polialertcom/videos/president-biden-credits-companies-doctors-school-officials-and-religious-leaders/1102757757212444/,2024-11-30T16:48:57.833155,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,My Religious Views - Facebook,https://www.facebook.com/myreligiousviews/,2024-11-30T16:48:59.995847,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Why 81 year-old Mohammed Rafi changed his mind about the vaccine ...,https://www.facebook.com/BBCAsianNetwork/videos/why-81-year-old-mohammed-rafi-changed-his-mind-about-the-vaccine/3679035655519071/,2024-11-30T16:49:01.599826,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Northwell Life - Facebook,https://www.facebook.com/groups/northwelllife/,2024-11-30T16:49:02.238332,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Our Commitment to Safety | Meta for Business - Facebook,https://www.facebook.com/business/news/our-commitment-to-safety/,2024-11-30T16:49:04.793710,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Together Against Covid-19 Misinformation: A New Campaign in ... - Facebook,https://www.facebook.com/formedia/blog/together-against-covid-19-misinformation-a-new-campaign-in-partnership-with-the-who/,2024-11-30T16:49:06.337024,advanced
public perception of vaccines,site:facebook.com religious view on vaccine misinformation,Entrar no Facebook,https://pt-br.facebook.com/login.php/,2024-11-30T16:49:06.872738,advanced
