topic,query,title,url,timestamp,search_depth
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,Vaccine Hesitancy: Societal Health Advocacy | [Vaccine Hesitancy ...,https://www.facebook.com/JPPhACEUMkt/videos/vaccine-hesitancy-societal-health-advocacy/221573896048312/,2024-11-30T16:58:01.658553,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,"To address vaccine hesitancy, the public health community ... - Facebook",https://www.facebook.com/sabinvaccine/videos/to-address-vaccine-hesitancy-the-public-health-community-must-partner-with-socia/2616780535241058/,2024-11-30T16:58:02.591138,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,New lessons learned in building COVID-19 vaccine acceptance,https://research.facebook.com/blog/2022/4/new-lessons-learned-in-building-covid-19-vaccine-acceptance/,2024-11-30T16:58:04.987087,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,SC DHEC - Vaccine hesitancy is real and it's expected. We... - Facebook,https://www.facebook.com/SCDHEC/posts/vaccine-hesitancy-is-real-and-its-expected-we-understand-that-some-people-have-a/1947074515469515/,2024-11-30T16:58:08.307986,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,"Vaccine hesitancy... - American Pharmacy Cooperative, Inc - Facebook",https://it-it.facebook.com/AmericanPharmacyCoop/posts/vaccine-hesitancy-experts-say-the-concerns-some-people-have-about-the-covid-vacc/5154304661277752/,2024-11-30T16:58:09.388580,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,Marianne Cooper - Vaccine hesitancy is a top-10 threat to... - Facebook,https://www.facebook.com/mariannecooperphd/posts/4378244178923984/,2024-11-30T16:58:11.304152,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,More than three-quarters of the world's population believe that ...,https://tr-tr.facebook.com/rcl.lahore.educators/videos/more-than-three-quarters-of-the-worlds-population-believe-that-immunizations-are/617322046244549/,2024-11-30T16:58:13.179795,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,""" A societal norm... - Sustainable Coast BC Magazine - Facebook",https://nl-nl.facebook.com/sustainablecoastbc.ca/posts/-a-societal-norm-surrounding-mutual-charging-is-something-that-will-improve-trav/5599940616685760/,2024-11-30T16:58:14.586309,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,"""The biggest predictor of vaccine hesitancy is party identification ...",https://www.facebook.com/StanfordPACS/posts/10165339761530137/,2024-11-30T16:58:15.676580,advanced
vaccine misinformation,site:facebook.com societal norms and vaccine hesitancy,How do we ensure ethical allocation of future #vaccines? Our Stephanie ...,https://es-es.facebook.com/BCMEthics/posts/how-do-we-ensure-ethical-allocation-of-future-vaccines-our-stephanie-morain-path/3537864116249191/,2024-11-30T16:58:17.577145,advanced
